loop	threshold	anger	empty_cells
1129	-230	794	22
1130	-230	795	22
1131	-230	796	22
1132	-230	797	22
1133	-230	798	22
1134	-230	799	22
1135	-230	800	22
1136	-230	801	23
1137	-230	802	23
1138	-230	803	23
1139	-230	804	23
1140	-230	805	23
1141	-230	806	23
1142	-230	807	23
1143	-230	808	23
1144	-230	809	23
1145	-230	810	23
1146	-230	811	23
1147	-230	812	23
1148	-230	813	23
1149	-230	809	22
1150	-230	810	22
1151	-230	811	22
1152	-230	812	22
1153	-230	813	22
1154	-230	814	22
1155	-230	815	22
1156	-230	816	22
1157	-230	817	22
1158	-230	818	22
1159	-230	819	24
1160	-230	820	24
1161	-230	816	23
1162	-230	817	23
1163	-230	818	23
1164	-230	819	23
1165	-230	820	23
1166	-230	821	23
1167	-230	822	23
1168	-230	823	23
1169	-230	824	23
1170	-230	825	23
1171	-230	826	23
1172	-230	827	23
1173	-230	828	23
1174	-230	829	24
1175	-230	830	24
1176	-230	826	23
1177	-230	827	23
1178	-230	828	23
1179	-230	829	24
1180	-230	830	24
1181	-230	831	24
1182	-230	832	24
1183	-230	833	25
1184	-230	829	24
1185	-230	830	24
1186	-230	831	24
1187	-230	832	26
1188	-230	828	25
1189	-230	824	24
1190	-230	825	24
1191	-230	826	24
1192	-230	827	25
1193	-230	828	26
1194	-230	829	26
1195	-230	825	25
1196	-230	821	23
1197	-230	822	23
1198	-230	823	23
1199	-230	824	23
1200	-280	825	23
1201	-280	826	23
1202	-280	827	23
1203	-280	828	23
1204	-280	824	22
1205	-280	825	22
1206	-280	826	22
1207	-280	827	22
1208	-280	828	22
1209	-280	829	22
1210	-280	830	22
1211	-280	831	24
1212	-280	832	24
1213	-280	833	24
1214	-280	834	24
1215	-280	835	24
1216	-280	836	24
1217	-280	837	27
1218	-280	838	30
1219	-280	839	30
1220	-280	835	28
1221	-280	836	28
1222	-280	837	29
1223	-280	833	26
1224	-280	829	25
1225	-280	830	25
1226	-280	826	23
1227	-280	827	23
1228	-280	823	21
1229	-280	824	21
1230	-280	825	21
1231	-280	826	21
1232	-280	827	21
1233	-280	828	21
1234	-280	829	21
1235	-280	830	21
1236	-280	831	21
1237	-280	832	21
1238	-280	833	21
1239	-280	834	21
1240	-280	835	21
1241	-280	836	21
1242	-280	837	21
1243	-280	838	21
1244	-280	839	21
1245	-280	840	21
1246	-280	841	21
1247	-280	842	21
1248	-280	843	21
1249	-280	844	22
1250	-280	845	23
1251	-280	841	22
1252	-280	842	22
1253	-280	838	21
1254	-280	839	21
1255	-280	840	21
1256	-280	841	21
1257	-280	842	21
1258	-280	843	21
1259	-280	844	21
1260	-280	845	21
1261	-280	846	21
1262	-280	847	21
1263	-280	848	21
1264	-280	849	21
1265	-280	850	21
1266	-280	851	22
1267	-280	852	22
1268	-280	853	22
1269	-280	854	22
1270	-280	855	22
1271	-280	856	22
1272	-280	857	22
1273	-280	858	22
1274	-280	859	22
1275	-280	860	22
1276	-280	861	22
1277	-280	862	22
1278	-280	863	22
1279	-280	864	23
1280	-280	860	22
1281	-280	861	22
1282	-280	862	22
1283	-280	863	22
1284	-280	864	22
1285	-280	865	23
1286	-280	866	23
1287	-280	867	23
1288	-280	868	23
1289	-280	869	23
1290	-280	870	23
1291	-280	871	23
1292	-280	867	22
1293	-280	868	23
1294	-280	864	22
1295	-280	865	22
1296	-280	866	22
1297	-280	867	22
1298	-280	868	22
1299	-280	869	22
1300	-280	870	22
1301	-280	871	22
1302	-280	872	22
1303	-280	873	22
1304	-280	874	22
1305	-280	875	22
1306	-280	876	22
1307	-280	877	22
1308	-280	878	22
1309	-280	879	22
1310	-280	880	22
1311	-280	881	22
1312	-280	882	22
1313	-280	883	22
1314	-280	884	22
1315	-280	885	22
1316	-280	886	22
1317	-280	887	23
1318	-280	888	23
1319	-280	889	25
1320	-280	890	26
1321	-280	891	26
1322	-280	892	26
1323	-280	893	26
1324	-280	889	24
1325	-280	890	25
1326	-280	891	25
1327	-280	892	25
1328	-280	888	24
1329	-280	884	23
1330	-280	880	22
1331	-280	881	24
1332	-280	877	22
1333	-280	878	22
1334	-280	879	22
1335	-280	880	22
1336	-280	881	22
1337	-280	882	22
1338	-280	883	22
1339	-280	884	22
1340	-280	885	22
1341	-280	886	22
1342	-280	887	22
1343	-280	888	22
1344	-280	889	22
1345	-280	890	22
1346	-280	891	22
1347	-280	892	22
1348	-280	893	22
1349	-280	894	22
1350	-280	895	23
1351	-280	896	23
1352	-280	897	24
1353	-280	893	22
1354	-280	894	22
1355	-280	895	22
1356	-280	896	22
1357	-280	897	22
1358	-280	898	22
1359	-280	899	22
1360	-280	900	22
1361	-280	901	23
1362	-280	902	23
1363	-280	903	23
1364	-280	904	23
1365	-280	905	23
1366	-280	906	23
1367	-280	907	23
1368	-280	908	23
1369	-280	909	23
1370	-280	910	23
1371	-280	911	23
1372	-280	912	23
1373	-280	913	23
1374	-280	914	23
1375	-280	915	23
1376	-280	916	23
1377	-280	917	23
1378	-280	918	23
1379	-280	919	23
1380	-280	920	23
1381	-280	921	23
1382	-280	922	23
1383	-280	923	23
1384	-280	924	23
1385	-280	925	23
1386	-280	926	23
1387	-280	927	23
1388	-280	928	23
1389	-280	929	23
1390	-280	930	23
1391	-280	931	25
1392	-280	927	23
1393	-280	928	23
1394	-280	929	23
1395	-280	930	23
1396	-280	931	23
1397	-280	932	23
1398	-280	933	23
1399	-280	934	23
1400	-330	935	23
1401	-330	936	23
1402	-330	937	23
1403	-330	938	23
1404	-330	939	23
1405	-330	940	23
1406	-330	941	23
1407	-330	942	23
1408	-330	943	23
1409	-330	944	23
1410	-330	945	23
1411	-330	946	23
1412	-330	947	23
1413	-330	948	25
1414	-330	944	23
1415	-330	945	23
1416	-330	946	23
1417	-330	947	23
1418	-330	948	23
1419	-330	949	23
1420	-330	950	23
1421	-330	951	24
1422	-330	952	24
1423	-330	953	24
1424	-330	954	24
1425	-330	955	24
1426	-330	956	24
1427	-330	957	24
1428	-330	958	24
1429	-330	959	24
1430	-330	960	25
1431	-330	961	25
1432	-330	957	24
1433	-330	958	24
1434	-330	959	24
1435	-330	960	24
1436	-330	961	24
1437	-330	962	24
1438	-330	963	24
1439	-330	964	24
1440	-330	965	24
1441	-330	966	24
1442	-330	967	24
1443	-330	968	24
1444	-330	969	24
1445	-330	970	24
1446	-330	971	24
1447	-330	972	24
1448	-330	973	24
1449	-330	974	24
1450	-330	975	24
1451	-330	976	24
1452	-330	977	24
1453	-330	978	26
1454	-330	974	24
1455	-330	975	24
1456	-330	976	24
1457	-330	977	24
1458	-330	978	24
1459	-330	979	24
1460	-330	980	24
1461	-330	981	24
1462	-330	982	24
1463	-330	983	24
1464	-330	984	24
1465	-330	985	24
1466	-330	986	24
1467	-330	987	24
1468	-330	988	24
1469	-330	989	24
1470	-330	990	24
1471	-330	991	24
1472	-330	992	24
1473	-330	993	24
1474	-330	994	24
1475	-330	995	24
1476	-330	996	26
1477	-330	992	24
1478	-330	993	24
1479	-330	994	24
1480	-330	995	24
1481	-330	996	24
1482	-330	997	24
1483	-330	998	24
1484	-330	999	26
1485	-330	1000	26
1486	-330	996	25
1487	-330	992	24
1488	-330	993	24
1489	-330	994	24
1490	-330	995	24
1491	-330	996	24
1492	-330	997	24
1493	-330	998	26
1494	-330	999	26
1495	-330	1000	26
1496	-330	1001	28
1497	-330	1002	28
1498	-330	1003	29
1499	-330	999	28
1500	-330	995	27
1501	-330	991	26
1502	-330	992	27
1503	-330	993	28
1504	-330	989	27
1505	-330	985	26
1506	-330	986	26
1507	-330	987	27
1508	-330	988	29
1509	-330	989	30
1510	-330	985	27
